,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
93,0.347,0.939,2,-9.239,1,0.0648,8.89e-05,3.81e-05,0.232,0.356,89.401,audio_features,3lJqE5AKrrFDFdhDyB0kqx,spotify:track:3lJqE5AKrrFDFdhDyB0kqx,https://api.spotify.com/v1/tracks/3lJqE5AKrrFDFdhDyB0kqx,https://api.spotify.com/v1/audio-analysis/3lJqE5AKrrFDFdhDyB0kqx,200333,4
94,0.649,0.909,6,-6.988,0,0.0729,3.63e-05,0.469,0.0787,0.623,131.919,audio_features,2tjb6V24kf6sDUdEFNf3m9,spotify:track:2tjb6V24kf6sDUdEFNf3m9,https://api.spotify.com/v1/tracks/2tjb6V24kf6sDUdEFNf3m9,https://api.spotify.com/v1/audio-analysis/2tjb6V24kf6sDUdEFNf3m9,230560,4
95,0.434,0.92,2,-14.802,1,0.0919,5.4e-05,0.397,0.379,0.175,139.803,audio_features,1zFarlqzxsE9I3QiwrdwJN,spotify:track:1zFarlqzxsE9I3QiwrdwJN,https://api.spotify.com/v1/tracks/1zFarlqzxsE9I3QiwrdwJN,https://api.spotify.com/v1/audio-analysis/1zFarlqzxsE9I3QiwrdwJN,229867,4
96,0.391,0.991,1,-5.934,0,0.0759,8.82e-05,0.0687,0.0803,0.236,149.863,audio_features,6v3UX3KGvhYwphqipOO84l,spotify:track:6v3UX3KGvhYwphqipOO84l,https://api.spotify.com/v1/tracks/6v3UX3KGvhYwphqipOO84l,https://api.spotify.com/v1/audio-analysis/6v3UX3KGvhYwphqipOO84l,341000,4
97,0.716,0.821,7,-4.204,1,0.0389,0.551,5.68e-06,0.618,0.931,120.737,audio_features,4N4guy1faBG6oseDnhjkWy,spotify:track:4N4guy1faBG6oseDnhjkWy,https://api.spotify.com/v1/tracks/4N4guy1faBG6oseDnhjkWy,https://api.spotify.com/v1/audio-analysis/4N4guy1faBG6oseDnhjkWy,197867,4
98,0.433,0.644,9,-8.054,0,0.0381,0.000374,0.000357,0.117,0.323,91.773,audio_features,3SvTwrxQJyGJkeoPDbuNcu,spotify:track:3SvTwrxQJyGJkeoPDbuNcu,https://api.spotify.com/v1/tracks/3SvTwrxQJyGJkeoPDbuNcu,https://api.spotify.com/v1/audio-analysis/3SvTwrxQJyGJkeoPDbuNcu,394667,4
99,0.356,0.894,9,-6.825,0,0.0796,2.67e-05,0.00806,0.0602,0.237,153.098,audio_features,5F4PRUrsZQ8zTppxd6OA9a,spotify:track:5F4PRUrsZQ8zTppxd6OA9a,https://api.spotify.com/v1/tracks/5F4PRUrsZQ8zTppxd6OA9a,https://api.spotify.com/v1/audio-analysis/5F4PRUrsZQ8zTppxd6OA9a,303547,4
100,0.709,0.793,11,-7.66,0,0.0437,0.00843,0.0624,0.178,0.616,105.864,audio_features,1qBTLEa3lAZ6ieAxc9sEk3,spotify:track:1qBTLEa3lAZ6ieAxc9sEk3,https://api.spotify.com/v1/tracks/1qBTLEa3lAZ6ieAxc9sEk3,https://api.spotify.com/v1/audio-analysis/1qBTLEa3lAZ6ieAxc9sEk3,247829,4
101,0.208,0.787,9,-6.763,0,0.0728,0.00131,0.0171,0.0626,0.472,170.626,audio_features,0un0EK8Qvd3eNYh7BJz2OF,spotify:track:0un0EK8Qvd3eNYh7BJz2OF,https://api.spotify.com/v1/tracks/0un0EK8Qvd3eNYh7BJz2OF,https://api.spotify.com/v1/audio-analysis/0un0EK8Qvd3eNYh7BJz2OF,337880,4
102,0.339,0.991,2,-5.028,1,0.145,0.000249,0.00327,0.261,0.185,106.767,audio_features,0c6p9QomOhNU9uzujLjtsD,spotify:track:0c6p9QomOhNU9uzujLjtsD,https://api.spotify.com/v1/tracks/0c6p9QomOhNU9uzujLjtsD,https://api.spotify.com/v1/audio-analysis/0c6p9QomOhNU9uzujLjtsD,300093,4
103,0.381,0.638,7,-12.201,1,0.0515,0.00281,0.305,0.142,0.143,116.306,audio_features,3ZGajFLn8uAIpNxMxBwfGY,spotify:track:3ZGajFLn8uAIpNxMxBwfGY,https://api.spotify.com/v1/tracks/3ZGajFLn8uAIpNxMxBwfGY,https://api.spotify.com/v1/audio-analysis/3ZGajFLn8uAIpNxMxBwfGY,324360,4
104,0.297,0.798,4,-9.999,1,0.0782,0.000113,0.0772,0.132,0.544,137.397,audio_features,2H4Uh7c159cJBmrbekZFFe,spotify:track:2H4Uh7c159cJBmrbekZFFe,https://api.spotify.com/v1/tracks/2H4Uh7c159cJBmrbekZFFe,https://api.spotify.com/v1/audio-analysis/2H4Uh7c159cJBmrbekZFFe,237107,4
105,0.262,0.988,11,-4.922,0,0.253,0.00655,0.897,0.132,0.227,91.319,audio_features,5ZOOjqoCaUydmo8bxSdosj,spotify:track:5ZOOjqoCaUydmo8bxSdosj,https://api.spotify.com/v1/tracks/5ZOOjqoCaUydmo8bxSdosj,https://api.spotify.com/v1/audio-analysis/5ZOOjqoCaUydmo8bxSdosj,290280,4
106,0.442,0.759,10,-13.475,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,audio_features,3D5ORNm9spaTcdRx50ksHx,spotify:track:3D5ORNm9spaTcdRx50ksHx,https://api.spotify.com/v1/tracks/3D5ORNm9spaTcdRx50ksHx,https://api.spotify.com/v1/audio-analysis/3D5ORNm9spaTcdRx50ksHx,205560,4
107,0.526,0.9,4,-4.76,0,0.0531,0.00914,0.0,0.277,0.458,125.349,audio_features,2W7CvGjipq3EmHqNGN7lN9,spotify:track:2W7CvGjipq3EmHqNGN7lN9,https://api.spotify.com/v1/tracks/2W7CvGjipq3EmHqNGN7lN9,https://api.spotify.com/v1/audio-analysis/2W7CvGjipq3EmHqNGN7lN9,231693,4
108,0.49,0.86,7,-5.284,0,0.0573,0.132,0.0,0.215,0.795,132.673,audio_features,2dHjSNCw10clC9oOld8tPn,spotify:track:2dHjSNCw10clC9oOld8tPn,https://api.spotify.com/v1/tracks/2dHjSNCw10clC9oOld8tPn,https://api.spotify.com/v1/audio-analysis/2dHjSNCw10clC9oOld8tPn,241893,4
109,0.245,0.933,4,-8.148,0,0.0863,3.43e-05,0.182,0.0437,0.456,178.555,audio_features,2ksadH0rmJCMAQ8r3Najnt,spotify:track:2ksadH0rmJCMAQ8r3Najnt,https://api.spotify.com/v1/tracks/2ksadH0rmJCMAQ8r3Najnt,https://api.spotify.com/v1/audio-analysis/2ksadH0rmJCMAQ8r3Najnt,209000,4
110,0.24,0.958,11,-10.151,0,0.1,2.73e-05,0.0354,0.769,0.0718,161.887,audio_features,25qe3Wf24HVQBBiQeb9Cdf,spotify:track:25qe3Wf24HVQBBiQeb9Cdf,https://api.spotify.com/v1/tracks/25qe3Wf24HVQBBiQeb9Cdf,https://api.spotify.com/v1/audio-analysis/25qe3Wf24HVQBBiQeb9Cdf,282560,4
111,0.329,0.676,9,-9.036,0,0.0324,0.0366,0.0,0.18,0.529,78.217,audio_features,7iEVmnzJr1V7duYKPWplzp,spotify:track:7iEVmnzJr1V7duYKPWplzp,https://api.spotify.com/v1/tracks/7iEVmnzJr1V7duYKPWplzp,https://api.spotify.com/v1/audio-analysis/7iEVmnzJr1V7duYKPWplzp,273733,4
112,0.498,0.858,8,-9.48,1,0.0564,0.0299,0.0,0.106,0.437,151.698,audio_features,25kORdST1xzG4WXOnzJCKV,spotify:track:25kORdST1xzG4WXOnzJCKV,https://api.spotify.com/v1/tracks/25kORdST1xzG4WXOnzJCKV,https://api.spotify.com/v1/audio-analysis/25kORdST1xzG4WXOnzJCKV,215307,4
113,0.258,0.929,4,-9.571,0,0.0688,0.00972,0.414,0.34,0.494,138.346,audio_features,0XazvXRtIb75Ljr6OjQGmX,spotify:track:0XazvXRtIb75Ljr6OjQGmX,https://api.spotify.com/v1/tracks/0XazvXRtIb75Ljr6OjQGmX,https://api.spotify.com/v1/audio-analysis/0XazvXRtIb75Ljr6OjQGmX,312760,4
114,0.49,0.789,4,-12.775,1,0.0522,0.011,0.000778,0.325,0.495,146.983,audio_features,6RsNd0M7jqbjIhj4qIbwip,spotify:track:6RsNd0M7jqbjIhj4qIbwip,https://api.spotify.com/v1/tracks/6RsNd0M7jqbjIhj4qIbwip,https://api.spotify.com/v1/audio-analysis/6RsNd0M7jqbjIhj4qIbwip,238400,4
115,0.329,0.941,9,-7.687,1,0.084,0.00376,0.00525,0.0791,0.77,171.632,audio_features,21CvmkU9C4GXrl1KZBl0FF,spotify:track:21CvmkU9C4GXrl1KZBl0FF,https://api.spotify.com/v1/tracks/21CvmkU9C4GXrl1KZBl0FF,https://api.spotify.com/v1/audio-analysis/21CvmkU9C4GXrl1KZBl0FF,251320,4
116,0.298,0.612,3,-9.002,0,0.0379,0.0194,9.67e-05,0.0906,0.343,156.727,audio_features,1j06ieEC2BOCM0fTmYhn2l,spotify:track:1j06ieEC2BOCM0fTmYhn2l,https://api.spotify.com/v1/tracks/1j06ieEC2BOCM0fTmYhn2l,https://api.spotify.com/v1/audio-analysis/1j06ieEC2BOCM0fTmYhn2l,262200,4
117,0.295,0.974,2,-4.098,0,0.0844,1.84e-05,0.728,0.175,0.201,150.259,audio_features,4hfpMRkHOW3xGt8zE8ogFk,spotify:track:4hfpMRkHOW3xGt8zE8ogFk,https://api.spotify.com/v1/tracks/4hfpMRkHOW3xGt8zE8ogFk,https://api.spotify.com/v1/audio-analysis/4hfpMRkHOW3xGt8zE8ogFk,387733,4
118,0.262,0.988,4,-4.939,0,0.117,1.63e-05,0.733,0.21,0.259,113.663,audio_features,3lMVtX2zN22nm30jGVoOpT,spotify:track:3lMVtX2zN22nm30jGVoOpT,https://api.spotify.com/v1/tracks/3lMVtX2zN22nm30jGVoOpT,https://api.spotify.com/v1/audio-analysis/3lMVtX2zN22nm30jGVoOpT,365320,4
119,0.486,0.75,7,-8.171,1,0.0417,0.00375,0.00286,0.201,0.329,110.816,audio_features,07f9Uh1cWqH8ggfcEYeC1l,spotify:track:07f9Uh1cWqH8ggfcEYeC1l,https://api.spotify.com/v1/tracks/07f9Uh1cWqH8ggfcEYeC1l,https://api.spotify.com/v1/audio-analysis/07f9Uh1cWqH8ggfcEYeC1l,188920,4
