,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
177,0.438,0.182,2,-15.209,0,0.0338,0.983,0.841,0.119,0.0639,65.535,audio_features,7hDq6sOZ5Rl1XnSSfoOBRK,spotify:track:7hDq6sOZ5Rl1XnSSfoOBRK,https://api.spotify.com/v1/tracks/7hDq6sOZ5Rl1XnSSfoOBRK,https://api.spotify.com/v1/audio-analysis/7hDq6sOZ5Rl1XnSSfoOBRK,284187,3
178,0.402,0.409,5,-13.95,0,0.0363,0.128,0.000568,0.0947,0.489,130.681,audio_features,2wjHWYJVAs5TYSRP83JLmc,spotify:track:2wjHWYJVAs5TYSRP83JLmc,https://api.spotify.com/v1/tracks/2wjHWYJVAs5TYSRP83JLmc,https://api.spotify.com/v1/audio-analysis/2wjHWYJVAs5TYSRP83JLmc,585960,4
179,0.528,0.583,7,-8.776,0,0.0643,0.592,0.0,0.305,0.671,96.284,audio_features,5KQ6uddno2Hht84gJDHsPF,spotify:track:5KQ6uddno2Hht84gJDHsPF,https://api.spotify.com/v1/tracks/5KQ6uddno2Hht84gJDHsPF,https://api.spotify.com/v1/audio-analysis/5KQ6uddno2Hht84gJDHsPF,495373,4
180,0.394,0.23,3,-10.475,1,0.0348,0.931,0.497,0.0662,0.358,78.319,audio_features,5p95DUZplmVxY0XCQ3hxUV,spotify:track:5p95DUZplmVxY0XCQ3hxUV,https://api.spotify.com/v1/tracks/5p95DUZplmVxY0XCQ3hxUV,https://api.spotify.com/v1/audio-analysis/5p95DUZplmVxY0XCQ3hxUV,477760,4
181,0.394,0.441,8,-14.237,1,0.0371,0.692,0.0375,0.105,0.629,90.058,audio_features,3AJSnSiVDz37q85LP2Rop0,spotify:track:3AJSnSiVDz37q85LP2Rop0,https://api.spotify.com/v1/tracks/3AJSnSiVDz37q85LP2Rop0,https://api.spotify.com/v1/audio-analysis/3AJSnSiVDz37q85LP2Rop0,378960,4
182,0.673,0.377,0,-14.141,1,0.0697,0.586,0.0,0.332,0.713,88.973,audio_features,0RNxWy0PC3AyH4ThH3aGK6,spotify:track:0RNxWy0PC3AyH4ThH3aGK6,https://api.spotify.com/v1/tracks/0RNxWy0PC3AyH4ThH3aGK6,https://api.spotify.com/v1/audio-analysis/0RNxWy0PC3AyH4ThH3aGK6,201467,4
183,0.492,0.583,8,-9.927,1,0.19,0.673,2.38e-06,0.201,0.798,73.64,audio_features,2cOSF20k8VkEoXllO0PsbG,spotify:track:2cOSF20k8VkEoXllO0PsbG,https://api.spotify.com/v1/tracks/2cOSF20k8VkEoXllO0PsbG,https://api.spotify.com/v1/audio-analysis/2cOSF20k8VkEoXllO0PsbG,178533,4
184,0.499,0.0808,8,-17.369,0,0.0427,0.989,0.799,0.0723,0.216,95.37,audio_features,1ebZEQLe2lfwyMnuhnIDjx,spotify:track:1ebZEQLe2lfwyMnuhnIDjx,https://api.spotify.com/v1/tracks/1ebZEQLe2lfwyMnuhnIDjx,https://api.spotify.com/v1/audio-analysis/1ebZEQLe2lfwyMnuhnIDjx,413307,4
185,0.445,0.304,8,-12.261,1,0.0437,0.742,0.00068,0.175,0.362,76.74,audio_features,0tUq1zaYNoV6ZiYRU2bjqf,spotify:track:0tUq1zaYNoV6ZiYRU2bjqf,https://api.spotify.com/v1/tracks/0tUq1zaYNoV6ZiYRU2bjqf,https://api.spotify.com/v1/audio-analysis/0tUq1zaYNoV6ZiYRU2bjqf,589200,4
186,0.623,0.345,8,-8.891,1,0.0386,0.61,0.069,0.0983,0.28,126.24,audio_features,3YiuJ3OstUEa93UBqb1vcn,spotify:track:3YiuJ3OstUEa93UBqb1vcn,https://api.spotify.com/v1/tracks/3YiuJ3OstUEa93UBqb1vcn,https://api.spotify.com/v1/audio-analysis/3YiuJ3OstUEa93UBqb1vcn,484107,4
187,0.701,0.393,5,-9.868,1,0.155,0.919,0.384,0.0964,0.791,75.908,audio_features,1xXydFs62EqOXFMPizVhn4,spotify:track:1xXydFs62EqOXFMPizVhn4,https://api.spotify.com/v1/tracks/1xXydFs62EqOXFMPizVhn4,https://api.spotify.com/v1/audio-analysis/1xXydFs62EqOXFMPizVhn4,196640,4
