Depth,T10,T11,T12,T13,T14
3,0.6793937000965167,0.6816823140592554,0.6721198561024833,0.6832075692433681,0.6816910882980901
4,0.6782267263314907,,0.6813035594162207,0.6774736041648387,0.678621567079056
5,0.6813020970430814,0.6801482846363077,0.6885774034102542,0.6786347284373082,0.6809306542657425
6,0.68703752449475,0.6862902518206545,,,0.6828273522271944
