,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
65,0.345,0.924,7,-7.767,0,0.0553,0.00376,0.0,0.122,0.434,142.378,2lRhq1ZfHNiaVNHkTWeXUv,spotify:track:2lRhq1ZfHNiaVNHkTWeXUv,261733,4,metal
66,0.33,0.841,1,-5.303,1,0.0562,0.000292,0.000262,0.061,0.672,106.807,6SUudbR4vTazN9Jb7QWQn5,spotify:track:6SUudbR4vTazN9Jb7QWQn5,242453,4,metal
67,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,292880,4,metal
68,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,spotify:track:07q0QVgO56EorrSGHC48y3,271240,4,metal
69,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,3KhF2YiNpJvGpfiCW45R6D,spotify:track:3KhF2YiNpJvGpfiCW45R6D,214960,4,metal
70,0.283,0.988,0,-7.017,1,0.111,3.75e-05,0.728,0.0712,0.133,90.791,2tfJfHUDg7w1FuiIoXuDVw,spotify:track:2tfJfHUDg7w1FuiIoXuDVw,284507,4,metal
71,0.287,0.716,11,-5.653,0,0.0311,0.0381,3.24e-05,0.164,0.544,172.123,3Rtv6zRNKpeSygXoaF9kCm,spotify:track:3Rtv6zRNKpeSygXoaF9kCm,409800,4,metal
72,0.27,0.886,11,-6.899,1,0.117,7.5e-06,0.0243,0.0899,0.192,119.285,1Krtfh550kyhfWPcRp6SnD,spotify:track:1Krtfh550kyhfWPcRp6SnD,313520,4,metal
73,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,255493,4,metal
74,0.37,0.922,2,-9.098,1,0.058,0.000107,0.00882,0.0974,0.333,134.857,2Bt7cSAgiPWpM2dOU6VAg1,spotify:track:2Bt7cSAgiPWpM2dOU6VAg1,297293,4,metal
75,0.379,0.941,11,-10.443,0,0.038,0.000869,0.000637,0.0393,0.527,105.155,1fcyfC1KLSWVCIvALR5AxS,spotify:track:1fcyfC1KLSWVCIvALR5AxS,341333,4,metal
76,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,7N3PAbqfTjSEU1edb2tY8j,spotify:track:7N3PAbqfTjSEU1edb2tY8j,241600,4,metal
77,0.539,0.783,8,-6.651,1,0.0517,0.00147,0.742,0.151,0.143,131.374,4ie42LCUKcp68EnZOMw9PG,spotify:track:4ie42LCUKcp68EnZOMw9PG,358698,4,metal
78,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,28clONjZmul6FjfO6tZQDE,spotify:track:28clONjZmul6FjfO6tZQDE,316867,4,metal
79,0.445,0.768,4,-8.836,1,0.0347,0.0127,2.58e-06,0.0925,0.32,112.796,5ZIU2kT1wNjQNclQeVCz5O,spotify:track:5ZIU2kT1wNjQNclQeVCz5O,318227,4,metal
80,0.422,0.901,7,-6.655,0,0.0631,9.22e-05,6.78e-06,0.56,0.673,112.445,06EC9TibZK2mACTZ2usK1h,spotify:track:06EC9TibZK2mACTZ2usK1h,194587,4,metal
81,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,208400,4,metal
82,0.31,0.991,5,-3.769,0,0.316,0.000132,0.085,0.0969,0.0395,140.071,3U9gogDStAfWxSm91PJuxb,spotify:track:3U9gogDStAfWxSm91PJuxb,298533,4,metal
83,0.331,0.79,9,-11.612,0,0.078,0.00279,0.0953,0.334,0.604,163.479,6DRvu6LgU0wRF6Yr7WHRji,spotify:track:6DRvu6LgU0wRF6Yr7WHRji,259933,4,metal
84,0.575,0.881,9,-13.012,1,0.0357,0.000117,2.69e-05,0.147,0.699,132.127,28TcG73tbc4iGrGBFjiBnR,spotify:track:28TcG73tbc4iGrGBFjiBnR,223867,4,metal
85,0.282,0.905,0,-9.455,1,0.114,0.000278,0.375,0.0894,0.554,133.837,6LGoJAyN1xAqF3VJZt0MKx,spotify:track:6LGoJAyN1xAqF3VJZt0MKx,284960,4,metal
86,0.238,0.759,0,-12.476,1,0.0624,0.000407,0.002,0.608,0.732,193.044,4G3Nnoae2XF1cdbdgATKKq,spotify:track:4G3Nnoae2XF1cdbdgATKKq,203933,4,metal
87,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,7LRMbd3LEoV5wZJvXT1Lwb,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,214667,4,metal
88,0.631,0.495,2,-13.374,1,0.0326,0.00976,0.06,0.174,0.413,128.818,3PtaFRuHFIlF6ZcMVE4lF8,spotify:track:3PtaFRuHFIlF6ZcMVE4lF8,376307,4,metal
