,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label,popularity,artist_followers
37,0.566,0.374,5,-11.194,0,0.0507,0.596,0.0102,0.172,0.326,115.735,1OjmEyEycmzJK3itBAq8EG,spotify:track:1OjmEyEycmzJK3itBAq8EG,787933,4,jazz,33,563117
38,0.554,0.445,0,-10.211,0,0.0385,0.674,1.06e-05,0.0926,0.498,80.505,2jArAY0sRtdIN8r9oS0ryO,spotify:track:2jArAY0sRtdIN8r9oS0ryO,512147,4,jazz,35,259930
39,0.497,0.315,10,-19.926,1,0.0426,0.968,0.875,0.106,0.822,92.858,3qfsuszc9cwvUI56OdCbqR,spotify:track:3qfsuszc9cwvUI56OdCbqR,400373,4,jazz,33,48319
40,0.419,0.58,8,-6.566,1,0.0525,0.228,0.00353,0.277,0.63,202.668,5FzhjFoN3ND1tvndL6rAOj,spotify:track:5FzhjFoN3ND1tvndL6rAOj,182867,3,jazz,30,44517
41,0.526,0.71,10,-9.846,1,0.0455,0.662,0.0998,0.234,0.838,129.588,10pXPSiE2qtzLMyeic3Vdm,spotify:track:10pXPSiE2qtzLMyeic3Vdm,414267,4,jazz,33,115384
42,0.588,0.223,5,-16.551,0,0.0487,0.776,0.000631,0.106,0.412,126.747,2w2S61Es3uLMVHE41u1pev,spotify:track:2w2S61Es3uLMVHE41u1pev,650467,4,jazz,32,31204
43,0.433,0.631,5,-9.381,1,0.0458,0.199,0.0,0.271,0.654,129.493,6aNnVdpAQu8R0qGq5NMXyZ,spotify:track:6aNnVdpAQu8R0qGq5NMXyZ,282600,4,jazz,44,785464
44,0.525,0.586,5,-9.888,1,0.0441,0.456,0.0,0.226,0.583,96.835,4tmApkhSLqUAE7x70CVI2L,spotify:track:4tmApkhSLqUAE7x70CVI2L,556227,4,jazz,32,105813
45,0.465,0.566,0,-9.161,0,0.0935,0.736,0.00479,0.218,0.632,177.28,06HwBSKPrMyC6HdiEMeKNX,spotify:track:06HwBSKPrMyC6HdiEMeKNX,592507,4,jazz,32,259930
46,0.493,0.113,3,-18.731,1,0.0567,0.994,0.952,0.106,0.329,94.024,1K4d8wa5NanzH425a42DMn,spotify:track:1K4d8wa5NanzH425a42DMn,217333,4,jazz,31,563117
47,0.519,0.319,10,-11.964,0,0.0346,0.93,0.7,0.11,0.677,147.821,7MpR13JCgWsEJe3iJzax5B,spotify:track:7MpR13JCgWsEJe3iJzax5B,422760,3,jazz,0,101149
48,0.589,0.372,5,-10.429,0,0.0299,0.496,0.0,0.359,0.597,90.738,3VvIjPjxHLRTXNJ8vSKkKN,spotify:track:3VvIjPjxHLRTXNJ8vSKkKN,215093,4,jazz,37,175870
49,0.475,0.541,5,-11.89,0,0.0749,0.466,1.24e-05,0.319,0.596,131.121,5ytXSrCiSO8UWL4f6rAOJy,spotify:track:5ytXSrCiSO8UWL4f6rAOJy,423160,4,jazz,0,1433197
1,0.466,0.0718,0,-17.999,1,0.0375,0.984,0.000931,0.107,0.196,121.769,1HEGcv63IZ7TPncpVKdVdN,spotify:track:1HEGcv63IZ7TPncpVKdVdN,294307,4,jazz,0,1433197
2,0.41,0.0418,1,-24.754,1,0.035,0.977,0.0137,0.117,0.247,67.882,5QnCtH7euld6R68UwcWrte,spotify:track:5QnCtH7euld6R68UwcWrte,184467,4,jazz,57,1867623
5,0.311,0.127,8,-15.463,1,0.0292,0.938,0.0111,0.182,0.105,87.127,6AjznBCgVaYESh8UHsHpDz,spotify:track:6AjznBCgVaYESh8UHsHpDz,249667,4,jazz,52,742742
6,0.563,0.136,3,-17.402,1,0.0683,0.87,0.0,0.106,0.368,104.928,1V4NaFlrUCK49MXcdOcVeS,spotify:track:1V4NaFlrUCK49MXcdOcVeS,280000,4,jazz,60,2197647
7,0.498,0.484,5,-8.74,0,0.0315,0.481,0.0,0.243,0.691,152.498,7gxW8hMXEUkc1G3m7z9vei,spotify:track:7gxW8hMXEUkc1G3m7z9vei,145933,4,jazz,59,455962
8,0.371,0.145,5,-14.587,1,0.0315,0.945,0.0,0.112,0.167,68.722,3xZe0jFAwc3akvChOrPS7u,spotify:track:3xZe0jFAwc3akvChOrPS7u,192560,4,jazz,55,70553
9,0.484,0.0631,7,-16.494,1,0.0353,0.972,0.000292,0.143,0.243,136.482,7n8HjcaEQzwwpyxHdjWjQq,spotify:track:7n8HjcaEQzwwpyxHdjWjQq,126293,4,jazz,54,165640
