,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
14,0.363,0.0446,7,-33.317,0,0.0493,0.995,0.9,0.0683,0.371,101.384,5Zp1QBSyZbfggs3pf08nri,spotify:track:5Zp1QBSyZbfggs3pf08nri,233453,4,classic
15,0.411,0.0155,5,-28.791,0,0.0406,0.995,0.88,0.0813,0.0379,97.841,0d71p8tQDxLgdTkEHcxQyl,spotify:track:0d71p8tQDxLgdTkEHcxQyl,198493,3,classic
16,0.448,0.0052,4,-36.512,1,0.0564,0.995,0.88,0.0698,0.0398,62.171,1juisCcrVdwoLbDWyVvNrX,spotify:track:1juisCcrVdwoLbDWyVvNrX,369027,4,classic
17,0.457,0.0252,3,-35.116,1,0.0621,0.996,0.875,0.0975,0.168,74.137,5t0nmGyqurAFZwm2IINjEC,spotify:track:5t0nmGyqurAFZwm2IINjEC,138840,4,classic
18,0.448,0.00897,3,-31.071,1,0.124,0.994,0.928,0.0829,0.5,68.57,32gGCtoIqSmRPmRbWUsVaw,spotify:track:32gGCtoIqSmRPmRbWUsVaw,174221,4,classic
19,0.36,0.00301,6,-35.441,0,0.0444,0.994,0.897,0.0557,0.18,72.892,1v3gGmcneK1QzYyBFiBXG0,spotify:track:1v3gGmcneK1QzYyBFiBXG0,301400,4,classic
21,0.273,0.00573,9,-39.245,1,0.0493,0.994,0.913,0.0857,0.174,91.621,2FbUitqkfxFhI4An73HzZW,spotify:track:2FbUitqkfxFhI4An73HzZW,193320,3,classic
22,0.121,0.00488,9,-39.58,0,0.0401,0.995,0.924,0.0694,0.186,84.021,0Ck1w9drSHl9NrWV9diIXv,spotify:track:0Ck1w9drSHl9NrWV9diIXv,181040,4,classic
23,0.272,0.0132,4,-28.85,1,0.0365,0.99,0.924,0.0875,0.0743,73.368,6VnSkysUFuLEayG0LIQlVF,spotify:track:6VnSkysUFuLEayG0LIQlVF,272133,4,classic
24,0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,4b59u2E74KcDuyHCRBkf5v,spotify:track:4b59u2E74KcDuyHCRBkf5v,442172,3,classic
25,0.349,0.0167,9,-30.454,1,0.0341,0.991,0.95,0.0892,0.0527,101.681,6tJgHvmQ1KP3ctd1sdV3lB,spotify:track:6tJgHvmQ1KP3ctd1sdV3lB,221160,3,classic
26,0.355,0.0164,3,-28.659,1,0.0396,0.995,0.926,0.0986,0.0922,67.946,00CXUMREit80f2McJsjcIz,spotify:track:00CXUMREit80f2McJsjcIz,282813,4,classic
27,0.33,0.00274,2,-37.342,0,0.0617,0.992,0.908,0.0668,0.188,61.088,4tKmydUDl8OIeb7fioEsnl,spotify:track:4tKmydUDl8OIeb7fioEsnl,143532,4,classic
28,0.404,0.0151,5,-35.799,1,0.0652,0.996,0.916,0.0946,0.282,134.935,7rrDSYbroZhV6aKkbYxiuG,spotify:track:7rrDSYbroZhV6aKkbYxiuG,150600,5,classic
29,0.31,0.00761,3,-35.324,1,0.052,0.993,0.881,0.0692,0.0381,132.984,4eEn698j0FkfQZwEo5zaDA,spotify:track:4eEn698j0FkfQZwEo5zaDA,139587,4,classic
30,0.313,0.0324,3,-29.155,0,0.0451,0.992,0.919,0.1,0.0522,127.356,6VLzm03YUeXVl3GdGyib6J,spotify:track:6VLzm03YUeXVl3GdGyib6J,182720,5,classic
31,0.527,0.0325,10,-26.594,1,0.0359,0.995,0.882,0.113,0.187,111.15,4JWVkr5jUjylM3hMG5zvXw,spotify:track:4JWVkr5jUjylM3hMG5zvXw,255267,4,classic
32,0.391,0.00316,10,-36.233,1,0.0382,0.995,0.925,0.068,0.143,69.792,73kFkK74uTO8fy8yBfMrTk,spotify:track:73kFkK74uTO8fy8yBfMrTk,139760,3,classic
