,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,label
177,0.438,0.182,2,-15.209,0,0.0338,0.983,0.841,0.119,0.0639,65.535,7hDq6sOZ5Rl1XnSSfoOBRK,spotify:track:7hDq6sOZ5Rl1XnSSfoOBRK,284187,3,jazz
178,0.402,0.409,5,-13.95,0,0.0363,0.128,0.000568,0.0947,0.489,130.681,2wjHWYJVAs5TYSRP83JLmc,spotify:track:2wjHWYJVAs5TYSRP83JLmc,585960,4,jazz
179,0.528,0.583,7,-8.776,0,0.0643,0.592,0.0,0.305,0.671,96.284,5KQ6uddno2Hht84gJDHsPF,spotify:track:5KQ6uddno2Hht84gJDHsPF,495373,4,jazz
180,0.394,0.23,3,-10.475,1,0.0348,0.931,0.497,0.0662,0.358,78.319,5p95DUZplmVxY0XCQ3hxUV,spotify:track:5p95DUZplmVxY0XCQ3hxUV,477760,4,jazz
181,0.394,0.441,8,-14.237,1,0.0371,0.692,0.0375,0.105,0.629,90.058,3AJSnSiVDz37q85LP2Rop0,spotify:track:3AJSnSiVDz37q85LP2Rop0,378960,4,jazz
182,0.673,0.377,0,-14.141,1,0.0697,0.586,0.0,0.332,0.713,88.973,0RNxWy0PC3AyH4ThH3aGK6,spotify:track:0RNxWy0PC3AyH4ThH3aGK6,201467,4,jazz
183,0.492,0.583,8,-9.927,1,0.19,0.673,2.38e-06,0.201,0.798,73.64,2cOSF20k8VkEoXllO0PsbG,spotify:track:2cOSF20k8VkEoXllO0PsbG,178533,4,jazz
184,0.499,0.0808,8,-17.369,0,0.0427,0.989,0.799,0.0723,0.216,95.37,1ebZEQLe2lfwyMnuhnIDjx,spotify:track:1ebZEQLe2lfwyMnuhnIDjx,413307,4,jazz
185,0.445,0.304,8,-12.261,1,0.0437,0.742,0.00068,0.175,0.362,76.74,0tUq1zaYNoV6ZiYRU2bjqf,spotify:track:0tUq1zaYNoV6ZiYRU2bjqf,589200,4,jazz
186,0.623,0.345,8,-8.891,1,0.0386,0.61,0.069,0.0983,0.28,126.24,3YiuJ3OstUEa93UBqb1vcn,spotify:track:3YiuJ3OstUEa93UBqb1vcn,484107,4,jazz
187,0.701,0.393,5,-9.868,1,0.155,0.919,0.384,0.0964,0.791,75.908,1xXydFs62EqOXFMPizVhn4,spotify:track:1xXydFs62EqOXFMPizVhn4,196640,4,jazz
188,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,1ChYuSIoOFDVY6fHSXF6zS,spotify:track:1ChYuSIoOFDVY6fHSXF6zS,550493,4,jazz
189,0.487,0.535,8,-8.47,0,0.0305,0.73,0.00414,0.0903,0.591,144.548,1duGF26RKaTntfsJ0cTkzj,spotify:track:1duGF26RKaTntfsJ0cTkzj,379000,3,jazz
190,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,2dR5WkrpwylTuT3jRWNufa,spotify:track:2dR5WkrpwylTuT3jRWNufa,147147,4,jazz
191,0.412,0.434,0,-13.3,1,0.0483,0.509,0.00735,0.24,0.505,94.84,12cMYRYTV2RTz4YTlOpgSu,spotify:track:12cMYRYTV2RTz4YTlOpgSu,339067,4,jazz
192,0.59,0.485,0,-5.262,0,0.197,0.81,0.0,0.281,0.695,148.851,0KDn1UsD2ym34dCT4P9ebj,spotify:track:0KDn1UsD2ym34dCT4P9ebj,147667,4,jazz
193,0.539,0.403,8,-9.168,1,0.0531,0.794,0.000613,0.278,0.699,165.301,2BhU0Hl5OatWiCW93pE2b8,spotify:track:2BhU0Hl5OatWiCW93pE2b8,342333,4,jazz
194,0.665,0.359,1,-8.887,1,0.0326,0.801,0.106,0.145,0.4,111.639,3Ysj0cl3Jlb6Ysp6um8QI7,spotify:track:3Ysj0cl3Jlb6Ysp6um8QI7,368747,4,jazz
195,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,4smkJW6uzoHxGReZqqwHS5,spotify:track:4smkJW6uzoHxGReZqqwHS5,211533,3,jazz
196,0.575,0.187,0,-13.081,0,0.0513,0.927,0.876,0.166,0.342,107.469,4ow1XH4hwe3yOGXG2eTTTY,spotify:track:4ow1XH4hwe3yOGXG2eTTTY,525613,4,jazz
197,0.488,0.337,5,-10.185,0,0.0463,0.851,2.12e-05,0.126,0.471,133.27,2Ef24NcyyZAMngL4uQd3xC,spotify:track:2Ef24NcyyZAMngL4uQd3xC,181653,4,jazz
198,0.419,0.296,6,-14.721,1,0.0308,0.914,0.927,0.193,0.121,111.452,7tQ7e28gdQNhLcIbqc1PXY,spotify:track:7tQ7e28gdQNhLcIbqc1PXY,498107,4,jazz
199,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,1CDBaGlisZlOJzvx88lL8A,spotify:track:1CDBaGlisZlOJzvx88lL8A,438280,4,jazz
200,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,1J9iVCaEriyoMXpj2XszhU,spotify:track:1J9iVCaEriyoMXpj2XszhU,282320,4,jazz
201,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,6TAW00MAPvS59yEoIgtOEI,spotify:track:6TAW00MAPvS59yEoIgtOEI,310055,4,jazz
202,0.632,0.202,2,-13.068,0,0.0587,0.766,0.0,0.146,0.488,134.298,3MRu7wA7ziRNf2cZr9gqtb,spotify:track:3MRu7wA7ziRNf2cZr9gqtb,228067,3,jazz
203,0.578,0.566,0,-8.733,1,0.0531,0.755,0.537,0.0987,0.83,125.03,7kDlGHJVjuMGVZWNDlH9Ru,spotify:track:7kDlGHJVjuMGVZWNDlH9Ru,281987,4,jazz
204,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4Vkk3iD1VrENHJEACNddvt,spotify:track:4Vkk3iD1VrENHJEACNddvt,570720,4,jazz
205,0.583,0.376,6,-10.914,1,0.0433,0.725,0.251,0.0642,0.614,120.713,3Y0LpU5kqQ3vSZvwcGjl1M,spotify:track:3Y0LpU5kqQ3vSZvwcGjl1M,217373,4,jazz
206,0.371,0.0823,3,-20.45,1,0.0352,0.963,0.49,0.0838,0.0789,106.146,08lUeu1CxXvAoaKkemoEk8,spotify:track:08lUeu1CxXvAoaKkemoEk8,431267,4,jazz
207,0.463,0.263,9,-18.136,1,0.0288,0.878,0.264,0.0958,0.123,112.799,76XN6m7RzGYwnzngUGD6Tt,spotify:track:76XN6m7RzGYwnzngUGD6Tt,357423,4,jazz
